head	relation	tail
TCM_ID:HTHP00100	modulates	Protein:PSMB5
TCM_ID:HTHP00100	modulates	Protein:PSMB6
TCM_ID:HTHP00100	modulates	Protein:PSMB7
TCM_ID:HTHP00100	modulates	Protein:PSMB10
TCM_ID:HTHP00100	modulates	Protein:PSMC1
TCM_ID:HTHP00100	modulates	Protein:PSMC2
TCM_ID:HTHP00100	modulates	Protein:PSMC3
TCM_ID:HTHP00100	modulates	Protein:PSMC4
TCM_ID:HTHP00100	modulates	Protein:PSMC5
TCM_ID:HTHP00100	modulates	Protein:PSMC6
TCM_ID:HTHP00100	modulates	Protein:PSMD1
TCM_ID:HTHP00100	modulates	Protein:PSMD2
TCM_ID:HTHP00100	modulates	Protein:PSMD4
TCM_ID:HTHP00100	modulates	Protein:PSMD5
TCM_ID:HTHP00100	modulates	Protein:PSMD7
TCM_ID:HTHP00100	modulates	Protein:PSMD8
TCM_ID:HTHP00100	modulates	Protein:PSMD9
TCM_ID:HTHP00100	modulates	Protein:PSMD10
TCM_ID:HTHP00100	modulates	Protein:PSMD11
TCM_ID:HTHP00100	modulates	Protein:PSMD12
TCM_ID:HTHP00100	modulates	Protein:PSMD13
TCM_ID:HTHP00100	modulates	Protein:PSME1
TCM_ID:HTHP00100	modulates	Protein:PSME2
TCM_ID:HTHP00100	modulates	Protein:PVR
TCM_ID:HTHP00100	modulates	Protein:TPP2
TCM_ID:HTHP00100	modulates	Protein:SLC7A5
TCM_ID:HTHP00100	modulates	Protein:PSMF1
TCM_ID:HTHP00100	modulates	Protein:NPEPPS
TCM_ID:HTHP00100	modulates	Protein:PSMD6
TCM_ID:HTHP00100	modulates	Protein:PSMD14
TCM_ID:HTHP00100	modulates	Protein:PSME4
TCM_ID:HTHP00100	modulates	Protein:SLC7A8
TCM_ID:HTHP00100	modulates	Protein:ERAP1
TCM_ID:HTHP00100	modulates	Protein:SLC6A15
TCM_ID:HTHP00100	modulates	Protein:ENOSF1
TCM_ID:HTHP00100	modulates	Protein:ERAP2
TCM_ID:HTHP00100	modulates	Protein:GGCT
TCM_ID:HTHP00100	modulates	Protein:PSMB11
TCM_ID:HTHP00100	modulates	Protein:PSMA8
TCM_ID:HTHP00100	modulates	Protein:IL4I1
TCM_ID:HTHP00100	modulates	Protein:SLC6A19
TCM_ID:HTHP00100	modulates	Protein:SLC6A18
TCM_ID:HTHP00100	modulates	Protein:MELTF
TCM_ID:HTHP00100	modulates	Protein:TF
TCM_ID:HTHP00100	modulates	Protein:ANPEP
TCM_ID:HTHP00100	modulates	Protein:ENPEP
TCM_ID:HTHP00100	modulates	Protein:LTA4H
TCM_ID:HTHP00100	modulates	Protein:RNPEP
TCM_ID:HTHP00100	modulates	Protein:TRHDE
TCM_ID:HTHP00100	modulates	Protein:RNPEPL1
TCM_ID:HTHP00100	modulates	Protein:AOPEP
TCM_ID:HTHP00100	modulates	Protein:LVRN
TCM_ID:HTHP00089	modulates	Protein:FOS
TCM_ID:HTHP00089	modulates	TF:JUN
TCM_ID:HTHP00089	modulates	Protein:CTNNA1
TCM_ID:HTHP00089	modulates	Protein:HSD11B2
TCM_ID:HTHP00089	modulates	Protein:NOS2
TCM_ID:HTHP00089	modulates	Protein:POR
TCM_ID:HTHP00089	modulates	Protein:GMEB2
TCM_ID:HTHP00089	modulates	Protein:SDR9C7
TCM_ID:HTHP00089	modulates	Protein:ESM1
TCM_ID:HTHP00089	modulates	TF:RELA
TCM_ID:HTHP00089	modulates	Protein:NOSTRIN
TCM_ID:HTHP00089	modulates	Protein:AARD
TCM_ID:HTHP00089	modulates	Protein:TP53COR1
TCM_ID:HTHP00089	modulates	Protein:F11R
TCM_ID:HTHP00089	modulates	Protein:SOD1
TCM_ID:HTHP00089	modulates	Protein:Sod1m
TCM_ID:HTHP00090	modulates	Protein:AQP1
TCM_ID:HTHP00090	modulates	Protein:GH1
TCM_ID:HTHP00090	modulates	Protein:GRIA1
TCM_ID:HTHP00090	modulates	Protein:IGFBP1
TCM_ID:HTHP00090	modulates	Protein:LIPE
TCM_ID:HTHP00090	modulates	Protein:TNF
TCM_ID:HTHP00090	modulates	Protein:INMT
TCM_ID:HTHP00090	modulates	Protein:CASP3
TCM_ID:HTHP00090	modulates	TF:JUN
TCM_ID:HTHP00090	modulates	Protein:MAP2
TCM_ID:HTHP00090	modulates	Protein:MS4A1
TCM_ID:HTHP00090	modulates	Protein:CD40LG
TCM_ID:HTHP00090	modulates	Protein:COL4A2
TCM_ID:HTHP00090	modulates	Protein:COL7A1
TCM_ID:HTHP00090	modulates	Protein:GUCY2F
TCM_ID:HTHP00090	modulates	Protein:TNC
TCM_ID:HTHP00090	modulates	Protein:MME
TCM_ID:HTHP00090	modulates	Protein:OGG1
TCM_ID:HTHP00090	modulates	Protein:RENBP
TCM_ID:HTHP00090	modulates	Protein:CUTA
TCM_ID:HTHP00090	modulates	Protein:RETN
TCM_ID:HTHP00090	modulates	Protein:GPT2
TCM_ID:HTHP00090	modulates	Protein:PPARGC1B
TCM_ID:HTHP00064	modulates	Protein:CAD
TCM_ID:HTHP00064	modulates	Protein:CAV1
TCM_ID:HTHP00064	modulates	Protein:CAV2
TCM_ID:HTHP00064	modulates	Protein:CYBB
TCM_ID:HTHP00064	modulates	Protein:EIF4E
TCM_ID:HTHP00064	modulates	Protein:EIF4EBP1
TCM_ID:HTHP00064	modulates	Protein:EIF4G1
TCM_ID:HTHP00064	modulates	Protein:MAP3K1
TCM_ID:HTHP00064	modulates	Protein:PFKL
TCM_ID:HTHP00064	modulates	Protein:CLEC11A
TCM_ID:HTHP00158	modulates	Protein:MAOB
TCM_ID:HTHP00158	modulates	Protein:OXA1L
TCM_ID:HTHP00158	modulates	Protein:PTGS2
TCM_ID:HTHP00158	modulates	Protein:ALAD
TCM_ID:HTHP00158	modulates	Protein:ALOX5
TCM_ID:HTHP00158	modulates	Protein:CAT
TCM_ID:HTHP00158	modulates	Protein:G6PD
TCM_ID:HTHP00158	modulates	Protein:GGT5
TCM_ID:HTHP00158	modulates	Protein:GSTA2
TCM_ID:HTHP00158	modulates	Protein:GSTM1
TCM_ID:HTHP00158	modulates	Protein:GSTP1
TCM_ID:HTHP00158	modulates	Protein:HMOX1
TCM_ID:HTHP00158	modulates	Protein:NOS2
TCM_ID:HTHP00158	modulates	Protein:POR
TCM_ID:HTHP00158	modulates	TF:RELA
TCM_ID:HTHP00158	modulates	Protein:TNF
TCM_ID:HTHP00158	modulates	Protein:XDH
TCM_ID:HTHP00158	modulates	Protein:MGAM
TCM_ID:HTHP00158	modulates	Protein:HS3ST4
TCM_ID:HTHP00158	modulates	Protein:Sod1m
TCM_ID:HTHP00158	modulates	Protein:NOSTRIN
TCM_ID:HTHP00158	modulates	Protein:Pvcan3
TCM_ID:HTHP00158	modulates	Protein:ODF3L2
TCM_ID:HTHP00158	modulates	Protein:Ptges3-ps
TCM_ID:HTHP00158	modulates	Protein:TP53COR1
TCM_ID:HTHP00158	modulates	Protein:Cox20b
TCM_ID:HTHP00158	modulates	TF:JUN
TCM_ID:HTHP00158	modulates	Protein:TCEAL7
TCM_ID:HTHP00158	modulates	Protein:BAX
TCM_ID:HTHP00158	modulates	Protein:BCL2
TCM_ID:HTHP00158	modulates	Protein:CASP3
TCM_ID:HTHP00158	modulates	Protein:PRKCA
TCM_ID:HTHP00158	modulates	Protein:BIRC3
TCM_ID:HTHP00158	modulates	TF:ATF3
TCM_ID:HTHP00158	modulates	Protein:C5AR1
TCM_ID:HTHP00158	modulates	Protein:CDKN1A
TCM_ID:HTHP00158	modulates	Protein:DDIT3
TCM_ID:HTHP00158	modulates	Protein:DNMT3B
TCM_ID:HTHP00158	modulates	TF:EGR1
TCM_ID:HTHP00158	modulates	Protein:HSPA6
TCM_ID:HTHP00158	modulates	Protein:IL1B
TCM_ID:HTHP00158	modulates	Protein:CXCL8
TCM_ID:HTHP00158	modulates	Protein:INSIG1
TCM_ID:HTHP00158	modulates	TF:MYC
TCM_ID:HTHP00158	modulates	Protein:PPBP
TCM_ID:HTHP00158	modulates	Protein:SLC2A4
TCM_ID:HTHP00158	modulates	Protein:TLR4
TCM_ID:HTHP00158	modulates	TF:TP53
TCM_ID:HTHP00158	modulates	Protein:DDIT4
TCM_ID:HTHP00158	modulates	Protein:Tlr12
TCM_ID:HTHP00158	modulates	Protein:CYP3A4
TCM_ID:HTHP00158	modulates	Protein:ALOXE3
TCM_ID:HTHP00158	modulates	Protein:Akr1c12
TCM_ID:HTHP00158	modulates	Protein:Gssos2
TCM_ID:HTHP00158	modulates	Protein:PGR
TCM_ID:HTHP00158	modulates	Protein:VEZF1
TCM_ID:HTHP00158	modulates	Protein:CREG1
TCM_ID:HTHP00158	modulates	Protein:EBAG9
TCM_ID:HTHP00158	modulates	Protein:IGHD
TCM_ID:HTHP00158	modulates	Protein:SERTAD3
TCM_ID:HTHP00132	modulates	Protein:AHCY
TCM_ID:HTHP00132	modulates	Protein:CCNC
TCM_ID:HTHP00132	modulates	Protein:TNFRSF8
TCM_ID:HTHP00132	modulates	Protein:TNFSF8
TCM_ID:HTHP00132	modulates	Protein:CIDEA
TCM_ID:HTHP00132	modulates	Protein:CLDN7
TCM_ID:HTHP00132	modulates	Protein:DEFB1
TCM_ID:HTHP00132	modulates	Protein:GOLGA4
TCM_ID:HTHP00132	modulates	Protein:SP110
TCM_ID:HTHP00132	modulates	Protein:IL1RN
TCM_ID:HTHP00132	modulates	Protein:IL13RA2
TCM_ID:HTHP00132	modulates	Protein:IL17A
TCM_ID:HTHP00132	modulates	Protein:KRT1
TCM_ID:HTHP00132	modulates	Protein:KRT6A
TCM_ID:HTHP00132	modulates	Protein:LIG3
TCM_ID:HTHP00132	modulates	Protein:MEFV
TCM_ID:HTHP00132	modulates	Protein:MAP3K3
TCM_ID:HTHP00132	modulates	Protein:NDUFB8
TCM_ID:HTHP00132	modulates	Protein:NME2
TCM_ID:HTHP00132	modulates	TF:NR4A2
TCM_ID:HTHP00132	modulates	Protein:OSM
TCM_ID:HTHP00132	modulates	Protein:RFC2
TCM_ID:HTHP00132	modulates	Protein:RFPL1
TCM_ID:HTHP00132	modulates	Protein:RFX3
TCM_ID:HTHP00132	modulates	Protein:CCL1
TCM_ID:HTHP00132	modulates	Protein:SFPQ
TCM_ID:HTHP00132	modulates	Protein:SRP68
TCM_ID:HTHP00132	modulates	Protein:SSBP1
TCM_ID:HTHP00132	modulates	Protein:TFDP1
TCM_ID:HTHP00132	modulates	Protein:TFDP2
TCM_ID:HTHP00132	modulates	Protein:UBE2E1
TCM_ID:HTHP00132	modulates	Protein:SCGB1A1
TCM_ID:HTHP00132	modulates	Protein:VCL
TCM_ID:HTHP00132	modulates	Protein:VEGFB
TCM_ID:HTHP00132	modulates	Protein:XRCC4
TCM_ID:HTHP00132	modulates	Protein:XRCC5
TCM_ID:HTHP00132	modulates	Protein:PIAS1
TCM_ID:HTHP00132	modulates	Protein:TNFSF9
TCM_ID:HTHP00132	modulates	Protein:IL18R1
TCM_ID:HTHP00132	modulates	Protein:USP13
TCM_ID:HTHP00132	modulates	Protein:TNFSF18
TCM_ID:HTHP00132	modulates	Protein:CCRL2
TCM_ID:HTHP00132	modulates	Protein:MINPP1
TCM_ID:HTHP00132	modulates	Protein:ABCB6
TCM_ID:HTHP00132	modulates	Protein:TRIM10
TCM_ID:HTHP00132	modulates	Protein:AKAP9
TCM_ID:HTHP00132	modulates	Protein:ZNF267
TCM_ID:HTHP00132	modulates	Protein:N4BP2L2
TCM_ID:HTHP00132	modulates	Protein:RFPL3
TCM_ID:HTHP00132	modulates	Protein:RFPL2
TCM_ID:HTHP00132	modulates	Protein:MALT1
TCM_ID:HTHP00132	modulates	Protein:ERP29
TCM_ID:HTHP00132	modulates	Protein:TRIM31
TCM_ID:HTHP00132	modulates	Protein:SP140
TCM_ID:HTHP00132	modulates	Protein:AFF4
TCM_ID:HTHP00132	modulates	Protein:CIDEB
TCM_ID:HTHP00132	modulates	Protein:CARD10
TCM_ID:HTHP00132	modulates	Protein:TRIM17
TCM_ID:HTHP00132	modulates	Protein:GTSE1
TCM_ID:HTHP00132	modulates	Protein:TRIM34
TCM_ID:HTHP00132	modulates	Protein:SOX18
TCM_ID:HTHP00132	modulates	Protein:RNF186
TCM_ID:HTHP00132	modulates	Protein:TRIM68
TCM_ID:HTHP00132	modulates	Protein:TRIM49
TCM_ID:HTHP00132	modulates	Protein:AS3MT
TCM_ID:HTHP00132	modulates	Protein:PREX1
TCM_ID:HTHP00132	modulates	Protein:TRIM48
TCM_ID:HTHP00132	modulates	Protein:RNF39
TCM_ID:HTHP00132	modulates	Protein:TRIM11
TCM_ID:HTHP00132	modulates	Protein:TRIM7
TCM_ID:HTHP00132	modulates	Protein:RNF135
TCM_ID:HTHP00132	modulates	Protein:FAXC
TCM_ID:HTHP00132	modulates	Protein:TRIM51
TCM_ID:HTHP00132	modulates	Protein:RIOX2
TCM_ID:HTHP00132	modulates	Protein:TRIM4
TCM_ID:HTHP00132	modulates	Protein:WNT3A
TCM_ID:HTHP00132	modulates	Protein:TRIM15
TCM_ID:HTHP00132	modulates	Protein:TRIM41
TCM_ID:HTHP00132	modulates	Protein:ERMAP
TCM_ID:HTHP00132	modulates	Protein:FSD2
TCM_ID:HTHP00132	modulates	Protein:TRIM43
TCM_ID:HTHP00132	modulates	Protein:TRIM40
TCM_ID:HTHP00132	modulates	Protein:TRIM60
TCM_ID:HTHP00132	modulates	Protein:TRIM49B
TCM_ID:HTHP00132	modulates	Protein:NHLRC4
TCM_ID:HTHP00132	modulates	Protein:TRIML1
TCM_ID:HTHP00132	modulates	Protein:RFPL4A
TCM_ID:HTHP00132	modulates	Protein:TRIM73
TCM_ID:HTHP00132	modulates	Protein:TRIM74
TCM_ID:HTHP00132	modulates	Protein:TRIM61
TCM_ID:HTHP00132	modulates	Protein:RFPL4B
TCM_ID:HTHP00132	modulates	Protein:TRIM6-TRIM34
TCM_ID:HTHP00132	modulates	Protein:TRIM72
TCM_ID:HTHP00132	modulates	Protein:TRIM64B
TCM_ID:HTHP00132	modulates	Protein:TRIM49C
TCM_ID:HTHP00132	modulates	Protein:TRIM64C
TCM_ID:HTHP00132	modulates	Protein:RFPL4AL1
TCM_ID:HTHP00132	modulates	Protein:Csn
TCM_ID:HTHP00142	modulates	Protein:BCR
TCM_ID:HTHP00142	modulates	Protein:CD14
TCM_ID:HTHP00142	modulates	Protein:STX2
TCM_ID:HTHP00142	modulates	Protein:GSN
TCM_ID:HTHP00142	modulates	Protein:IGFBP4
TCM_ID:HTHP00142	modulates	Protein:MDM4
TCM_ID:HTHP00142	modulates	Protein:PRCP
TCM_ID:HTHP00142	modulates	Protein:PKIA
TCM_ID:HTHP00142	modulates	Protein:PSMC2
TCM_ID:HTHP00142	modulates	Protein:PEX5
TCM_ID:HTHP00142	modulates	Protein:RGS2
TCM_ID:HTHP00142	modulates	Protein:RPL17
TCM_ID:HTHP00142	modulates	Protein:RTN1
TCM_ID:HTHP00142	modulates	Protein:SKP1
TCM_ID:HTHP00142	modulates	Protein:SORL1
TCM_ID:HTHP00142	modulates	Protein:TGFBR2
TCM_ID:HTHP00142	modulates	Protein:UBA7
TCM_ID:HTHP00142	modulates	Protein:PRDM2
TCM_ID:HTHP00142	modulates	Protein:OGT
TCM_ID:HTHP00142	modulates	Protein:IFITM1
TCM_ID:HTHP00142	modulates	Protein:HOMER3
TCM_ID:HTHP00142	modulates	Protein:AQR
TCM_ID:HTHP00142	modulates	Protein:SNX17
TCM_ID:HTHP00142	modulates	Protein:SV2B
TCM_ID:HTHP00142	modulates	Protein:ATG7
TCM_ID:HTHP00142	modulates	Protein:KIF3A
TCM_ID:HTHP00142	modulates	Protein:PTP4A3
TCM_ID:HTHP00142	modulates	Protein:DDHD2
TCM_ID:HTHP00142	modulates	Protein:ARHGEF18
TCM_ID:HTHP00142	modulates	Protein:RPL13A
TCM_ID:HTHP00142	modulates	Protein:ZKSCAN5
TCM_ID:HTHP00142	modulates	Protein:TNFAIP8
TCM_ID:HTHP00142	modulates	RBP:RBMX
TCM_ID:HTHP00142	modulates	Protein:EVL
TCM_ID:HTHP00142	modulates	Protein:IFT57
TCM_ID:HTHP00142	modulates	Protein:COG3
TCM_ID:HTHP00142	modulates	Protein:HIPK1
TCM_ID:HTHP00157	modulates	Protein:AOC2
TCM_ID:HTHP00157	modulates	Protein:PRKCE
